poi_id,name,name_clean,category,zone,latitude,longitude,address,source,source_url,confidence,notes,record_origin,validation_status,match_method,osm_type,osm_id,extracted_at
OSM-0766,Warung Kopi Tobong Boto,warung kopi tobong boto,cafe,Depok,-7.7370356,110.447031,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:cafe; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670264951,2026-06-24T16:07:57.357772+00:00
OSM-0767,ONO DIM SUM,ono dim sum,fast_food,Depok,-7.7468033,110.4494641,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:fast_food; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9670265479,2026-06-24T16:07:57.357772+00:00
OSM-0768,Soto Bathok kebon,soto bathok kebon,restaurant,Depok,-7.8028555,110.4450155,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,9671789128,2026-06-24T16:07:57.357772+00:00
OSM-0769,Toko Bu Hesti,toko bu hesti,retail,Depok,-7.741461,110.4277425,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:convenience; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Ngaglik Selatan to Depok",osm,osm_only,osm_only,node,9671798157,2026-06-24T16:09:35.619220+00:00
OSM-0770,SD Negeri Pokoh 2,sd negeri pokoh 2,school,Depok,-7.7374161,110.4286044,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false; zone normalized from Depok/Ngaglik Selatan to Depok",osm,osm_only,osm_only,node,9671805383,2026-06-24T16:09:35.619220+00:00
OSM-0771,Alfamart,alfamart,retail,Depok,-7.7468652,110.4197397,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:convenience; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9671807642,2026-06-24T16:07:57.357772+00:00
OSM-0772,Alif Coffee & Space,alif coffee & space,restaurant,Depok,-7.7361875,110.4271851,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Ngaglik Selatan to Depok",osm,osm_only,osm_only,node,9671808301,2026-06-24T16:09:35.619220+00:00
OSM-0773,Peni Ayu Swalayan,peni ayu swalayan,retail,Depok,-7.752032,110.4344589,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:convenience; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9671815982,2026-06-24T16:07:57.357772+00:00
OSM-0774,SD Budi Mulia Dua Panjen Yogyakarta,sd budi mulia dua panjen yogyakarta,school,Depok,-7.7393417,110.4320156,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false; zone normalized from Depok/Ngaglik Selatan to Depok",osm,osm_only,osm_only,node,9671817184,2026-06-24T16:09:35.619220+00:00
OSM-0775,Ndalem Jogja Cupuwatu,ndalem jogja cupuwatu,hotel,Depok,-7.7738264,110.452178,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,9671827938,2026-06-24T16:07:57.357772+00:00
