poi_id,name,category,zone,latitude,longitude,address,source,confidence,notes,record_origin,osm_type,osm_id,osm_primary_key,osm_primary_value,zone_matches,matched_baseline_poi_id
OSM-0676,Indomaret Candisari,minimarket,Ngaglik Selatan,-7.7004168,110.4152158,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Ngaglik Selatan. brand=indomaret,osm,node,13823031947,shop,convenience,Ngaglik Selatan,
OSM-0677,Indomaret Kaliurang KM13.5,minimarket,Ngaglik Selatan,-7.6950451,110.4181892,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Ngaglik Selatan. brand=indomaret,osm,node,13823031948,shop,convenience,Ngaglik Selatan,
OSM-0678,Indomaret Umbul Martani,minimarket,Ngaglik Selatan,-7.6884081,110.4189461,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Ngaglik Selatan. brand=indomaret,osm,node,13823031949,shop,convenience,Ngaglik Selatan,
OSM-0679,Indomaret Godean Pedes,minimarket,Gamping,-7.7894689,110.2765385,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031960,shop,convenience,Gamping,
OSM-0680,Indomaret Godean KM.12,minimarket,Gamping,-7.7632943,110.2806609,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031963,shop,convenience,Gamping,
OSM-0681,Indomaret Sidoagung,minimarket,Gamping,-7.770244,110.304082,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031964,shop,convenience,Gamping,
OSM-0682,Indomaret Point Coffee Sidokarto,minimarket,Gamping,-7.7710007,110.3059514,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031965,shop,convenience,Gamping,
OSM-0683,Indomaret Godean KM8,minimarket,Gamping,-7.7724169,110.311703,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031966,shop,convenience,Gamping,
OSM-0684,Indomaret Sidoarum Utara,minimarket,Gamping/Mlati,-7.7770265,110.3224346,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031967,shop,convenience,Gamping/Mlati,
OSM-0685,Indomaret Godean Km 6,minimarket,Gamping/Mlati,-7.7763655,110.3271757,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031968,shop,convenience,Gamping/Mlati,
OSM-0686,Indomaret Godean,minimarket,Gamping/Mlati,-7.7797115,110.3428817,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031969,shop,convenience,Gamping/Mlati,
OSM-0687,INDOMARET MULIA SLEMAN,minimarket,Depok/Mlati,-7.7463749,110.3808148,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031970,shop,convenience,Depok/Mlati,
OSM-0688,Indomaret Bale Mulia,minimarket,Mlati,-7.7381823,110.3536739,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031971,shop,convenience,Mlati,
OSM-0689,Indomaret RSA Kronggahan,minimarket,Gamping/Mlati,-7.7427638,110.3492078,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031972,shop,convenience,Gamping/Mlati,
OSM-0690,Indomaret Magelang KM4.7,minimarket,Depok/Mlati,-7.7651473,110.3615663,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031973,shop,convenience,Depok/Mlati,
OSM-0691,Indomaret Magelang KM5,minimarket,Depok/Mlati,-7.7663695,110.3618,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati. brand=indomaret,osm,node,13823031974,shop,convenience,Depok/Mlati,
OSM-0692,Indomaret Fresh Magelang KM13.5,minimarket,Mlati,-7.6918136,110.3436278,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031975,shop,convenience,Mlati,
OSM-0693,Indomaret jamal km 11,minimarket,Mlati,-7.7078966,110.3535461,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031976,shop,convenience,Mlati,
OSM-0694,Indomaret Griya Taman Asri,minimarket,Mlati/Ngaglik Selatan,-7.7095395,110.3725057,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031977,shop,convenience,Mlati/Ngaglik Selatan,
OSM-0695,Indomaret,minimarket,Mlati,-7.7169909,110.346387,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=Indomaret,osm,node,13823031978,shop,convenience,Mlati,
OSM-0696,Indomaret Margoluwih,minimarket,Gamping,-7.7498385,110.2936162,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping. brand=indomaret,osm,node,13823031979,shop,convenience,Gamping,
OSM-0697,Indomaret Kebon Agung Sumberadi,minimarket,Mlati,-7.731988,110.3233458,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031981,shop,convenience,Mlati,
OSM-0698,Indomaret Kolonel Subadri,minimarket,Mlati,-7.7145612,110.3301704,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031982,shop,convenience,Mlati,
OSM-0699,Indomaret Purbaya,minimarket,Mlati,-7.7139845,110.3416221,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=indomaret,osm,node,13823031983,shop,convenience,Mlati,
OSM-0700,Indomaret Palagan KM7.5,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7335961,110.3778311,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031984,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0701,Indomaret Tegalwaras,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7370728,110.3717023,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031985,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0702,Indomaret Sambisari,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7272819,110.3560902,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031986,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0703,Indomaret Gito Gati,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7195435,110.3681952,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031987,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0704,Indomaret Magelang KM9,minimarket,Depok/Mlati/Ngaglik Selatan,-7.726073,110.3624977,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031988,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0705,Indomaret Magelang KM8,minimarket,Depok/Mlati/Ngaglik Selatan,-7.730885,110.363641,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031989,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0706,Indomaret Sendangadi,minimarket,Depok/Mlati/Ngaglik Selatan,-7.7329626,110.3630672,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031990,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0707,Indomaret Perumnas,minimarket,Depok,-7.7662306,110.4058231,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok. brand=indomaret,osm,node,13823031991,shop,convenience,Depok,
OSM-0708,Indomaret Sidomoyo Utara,minimarket,Gamping/Mlati,-7.7496497,110.3208578,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031992,shop,convenience,Gamping/Mlati,
OSM-0709,Indomaret Sidomoyo,minimarket,Gamping/Mlati,-7.7613047,110.3205345,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031993,shop,convenience,Gamping/Mlati,
OSM-0710,Indomaret RR 99,minimarket,Gamping/Mlati,-7.7582408,110.3375897,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031994,shop,convenience,Gamping/Mlati,
OSM-0711,Indomaret Demak Ijo,minimarket,Gamping/Mlati,-7.7722129,110.3334882,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031995,shop,convenience,Gamping/Mlati,
OSM-0712,Indomaret Kabupaten KM 1,minimarket,Gamping/Mlati,-7.7710855,110.3429479,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031996,shop,convenience,Gamping/Mlati,
OSM-0713,Indomaret Kabupaten KM3,minimarket,Gamping/Mlati,-7.7518248,110.3476996,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Gamping/Mlati. brand=indomaret,osm,node,13823031997,shop,convenience,Gamping/Mlati,
